Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,ID,2025,12,Male,22,Right-Handed,180,30,185,1,Walk,10,0.316,33,Soccer,800,700,600,500,900,900,30,Same length,76,75,Same length,July,Summer,Yes,No,Meat,Water,Computers and technology,6,5,6,Yes - broadband connection,In person,10,10,20,2,21,2,6,14,14,7,1,10,24,2,Very little,Undergraduate degree,Other,Telepathy,Happy,Relative,Health
USA,ID,2025,12,Male,23,Right-Handed,177,28,182,1,Walk,10,0.391,46,Dancing,652,701,620,599,888,914,27,Right foot,7,8,Ring finger,September,Spring,Yes,No,Pizza/Pasta,Water,History,7,8,3,Yes - broadband connection,Text messaging,33,37,6,2,20,1,4,1,16,7,48,2,2,2,Some,Graduate degree,Other,Freeze time,Happy,Religious figure,Education/Youth development
USA,ID,2025,12,Male,24,Right-Handed,"5,4",11,5,1,Car,5 min,1.5,0.35,Basketball,32,145,350,200,200,400,11,Same length,5,3,Index finger,February,Spring,No,No,Meat,Juice,Mathematics and statistics,8,11,6,Yes - other,Text messaging,10,5,10 H,2 H,20 H,2 h,5 H,6 h,2 H,2 H,10 H,0 H,0 H,3 H,Some,Graduate degree,Pop,Telepathy,Rich,Relative,Education/Youth development
USA,ID,2025,12,Male,26,Right-Handed,189,30,190,1,Walk,20,0.346,36,Golf,600,600,600,600,900,1000,30,Same length,10,8,Index finger,February,Spring,Yes,No,Pizza/Pasta,Water,Computers and technology,8,8,6,Yes - broadband connection,Text messaging,5,5,5,1,5,3,3,5,3,1,3,1,0,3,Some,Undergraduate degree,Rock and roll,Freeze time,Happy,Relative,Education/Youth development
USA,ID,2025,12,Male,22,Right-Handed,180,26,185,1,Walk,5,0.359,32,Other,700,650,650,600,700,700,26,Same length,92,94,Ring finger,April,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,6,7,6,Yes - broadband connection,Text messaging,8,12,5,1,12,0,5,2,4,2,10,5,25,3,Some,Undergraduate degree,Other,Fly,Happy,Relative,Education/Youth development
USA,ID,2025,12,Male,24,,173,23,176,1,Walk,10,0.292,27,Tennis,600,600,500,680,900,900,23,Same length,73,77,Ring finger,July,Fall,No,No,Pizza/Pasta,Water,Music,8,6,3,Yes - broadband connection,Text messaging,30,30,10,4,25,0,4,35,15,8,60,0,0,0,A lot,Graduate degree,Other,Fly,Happy,Relative,Religious
USA,ID,2025,12,Male,19,Right-Handed,163,24,178,1,Walk,15,0.296,40,None,24,50,24,67,80,85,25,Left foot,90,80,Index finger,March,Winter,Yes,No,Meat,Water,Computers and technology,8,10,4,Yes - broadband connection,,1,0,0,2,24,10,0,15,1,0,40,0,0,1,Some,Undergraduate degree,Techno/Electronic,Telepathy,Rich,Relative,Health
USA,ID,2025,12,Male,19,Right-Handed,179,27.18,179,1,Walk,8,0.62,31,Skateboarding/Rollerblading,700,200,100,500,800,1000,27.18,Same length,74.6,75,Ring finger,June,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7.5,9,8,Yes - broadband connection,In person,10,16,15,0,14,0,0,1,40,0,45,0.8,0,0,Some,Undergraduate degree,Pop,Telepathy,Happy,Friend,Environment
USA,ID,2025,12,Male,45,Right-Handed,170,25,170,2,Car,15,0.376,42,Martial Arts,936,920,1000,1000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,ID,2025,12,Male,20,Right-Handed,176,27,175,2,Walk,10,0.528,33,Swimming,500,500,500,500,500,1000,27,Same length,69,70,Ring finger,April,Fall,Yes,No,Pizza/Pasta,Water,Science,7,8,8,Yes - broadband connection,Text messaging,5,10,5,1,15,2,1,1,3,1,20,3,2,2,Some,Undergraduate degree,Other,Fly,Happy,Relative,Health
USA,ID,2025,12,Male,45,Right-Handed,170,25,170,2,Car,15,0.376,42,Martial Arts,936,920,1000,1000,1000,925,25,,67,72,Ring finger,April,Spring,No,No,Meat,Water,Computers and technology,3,4,7,Yes - broadband connection,Internet chat or instant messaging,3,23,0,0,36,12,0,1,3,1,60,2,20,3,Some,Graduate degree,Rock and roll,Fly,Healthy,Relative,Education/Youth development
USA,ID,2025,12,Male,23,Right-Handed,177,28,170,1,Walk,20,O.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,ID,2025,12,Male,23,Right-Handed,177,28,170,1,Walk,20,0.275,33,Swimming,250,250,600,250,700,700,29,Left foot,,,Ring finger,December,Winter,Yes,No,Seafood,Water,Music,7.5,8,5,Yes - broadband connection,In person,0,1,,,,,,,,,,,,,Some,Graduate degree,Classical,Fly,Happy,Relative,Religious
USA,ID,2025,12,Male,23,Right-Handed,191,31,,1,Car,6,0.307,34,Golf,770,786,535,449,503,781,32,Left foot,,,,May,Spring,No,No,Breads/Sandwiches,Water,Computers and technology,7,8,2,Yes - broadband connection,Text messaging,10,15,4,1,27,10,5,4,15,2,24,5,17,10,Some,Graduate degree,Classical,Invisibility,Healthy,Religious figure,Education/Youth development
USA,ID,2025,12,Male,21,Right-Handed,191,28,,71,Walk,20,,0.349,Golf,500,500,400,500,0,800,29,Left foot,,98,Ring finger,October,Fall,No,No,Meat,Water,Computers and technology,8,9,5,Yes - broadband connection,Text messaging,10,13,4,1,25,1,3,4,4,1,1,1,12,1,Some,Graduate degree,Rock and roll,Fly,Rich,Sports person,Religious
USA,ID,2025,12,Male,23,Left-Handed,191,18,207,1,Walk,12,0.309,43,Swimming,700,400,600,700,1000,1000,26,Right foot,108,120,Ring finger,August,Summer,No,No,Pizza/Pasta,Water,Music,8,8,5,Yes - broadband connection,In person,2,2,25,0.01,10,2,0,0.5,4.5,0.25,65,0.5,0,2.5,Very little,Graduate degree,Classical,Fly,Healthy,Musician or singer,Religious
USA,ID,2025,12,Male,24,Right-Handed,,,,1,Car,10,0.515,34,Other,500,400,300,300,750,850,,,,,,November,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,2,Yes - broadband connection,Text messaging,30,30,,,,,,,,,,,,,Some,Undergraduate degree,Pop,Fly,Healthy,Relative,Education/Youth development
